Name,Effect
Audinite,Enables Audino to Mega Evolve during battle.
Auspicious Armor,Evolves Charcadet into Armarouge.
Aux Evasion,Makes moves less likely to strike a Pokémon during a battle.
Aux Guard,Sharply boosts the defensive stats of a Pokémon during a battle.
Aux Power,Sharply boosts the offensive stats of a Pokémon during a battle.
Aux Powerguard,Sharply boosts the offensive and defensive stats of a Pokémon during a battle.
Avocado,"An ingredient with sweet notes—though its flavor is very mild. The avocado’s richness, however, makes it satisfying to eat."
Awakening,Wakes up a sleeping Pokémon.
Axew Scales,"Material obtained after defeating/catching Axew, used in TM crafting."
Azurill Fur,"Material obtained after defeating/catching Azurill, used in TM crafting."
Babiri Berry,Weakens a supereffective Steel-type attack against the holding Pokémon.
Bach's Food Tin,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bach sells is curiously popular in Galar.
Bacon,"This very salty ingredient has been cooked just shy of charred, making it burst with fragrance and tasty flavor."
Bagon Scales,"Material obtained after defeating/catching Bagon, used in TM crafting."
Baguette,"A long loaf sliced into top and bottom halves. Its aroma of wheat and its straightforward, salty flavor make it pair well with all kinds of sandwich ingredients."
Ball of Mud,
Balm Mushroom,A rare mushroom which gives off a nice fragrance. A maniac will buy it for a high price.
Banana,"A very sweet ingredient. This go-to fruit is sweet and rich, and it’s beloved by many Pokémon."
Banettite,Enables Banette to Mega Evolve during battle.
Barboach Slime,"Material obtained after defeating/catching Barboach, used in TM crafting."
Barred Cup,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around."
Basculin Fang,"Material obtained after defeating/catching Basculin, used in TM crafting."
Basil,"A very bitter ingredient that’s quite versatile, as herbs go. It’s fragrant and goes well with tomatoes."
Battle Tablecloth,"A garish, eye-catching tablecloth. Putting this on your picnic table will inspire any person or Pokémon who eats there to do their best."
Beach Glass,A piece of colored glass. Waves have rounded its edges. It's slightly rough to the touch.
Bean Cake,
Beast Ball,A special Poké Ball designed to catch Ultra Beasts. It has a low success rate for catching others.
Beedrillite,Enables Beedrill to Mega Evolve during battle.
Belue Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Bergmite Ice,"Material obtained after defeating/catching Bergmite, used in TM crafting."
Berry Juice,Restores 20 HP.
Berry Sweet,Evolves Milcery into Blueberry Flavor Alcremie.
Big Bamboo Shoot,A large and rare bamboo shoot. It’s extremely popular with a certain class of gourmands.
Big Malasada,Heals all major status conditions.
Big Mushroom,A large and rare mushroom. It is sought after by collectors.
Big Nugget,A big nugget of pure gold that gives off a lustrous gleam. A maniac will buy it for a high price.
Big Pearl,A quite-large pearl that sparkles in a pretty silver color. It can be sold at a high price to shops.
Big Root,Recovers more HP from HP-stealing moves.
Binding Band,A band that increases the power of binding moves when held.
Bitter Herba Mystica,"A legendary condiment with a deeply bitter taste. It’s said to dramatically bolster a body’s immune defenses, though that hasn’t been proven."
Black Apricorn,A black Apricorn It has an indescribable scent.
Black Augurite,A glassy black stone that produces a sharp cutting edge when split. It’s loved by a certain Pokémon.
Black Belt,Increases the power of Fighting-type moves.
Black Flute,A toy flute made from black glass. A maniac will buy it for a high price.
Black Glasses,Increases the power of Dark-type moves.
Black Sludge,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.
Black Tumblestone,
Blank Plate,
Blastoisinite,Enables Blastoise to Mega Evolve during battle.
Blazikenite,Enables Blaziken to Mega Evolve during battle.
Blue Apricorn,A blue Apricorn. It smells a bit like grass.
Blue Bottle,A go-to bottle widely used for drinks at picnics. Its simple design and portability make it popular among all sorts of people.
Blue Cup,"A cup sold with the Blue Bottle. The two don’t stack, so they’re tough to pack—but they look good, so they’re popular with those who like to post picnic photos."
Blue Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The blue variety is a consistent strong seller.
Blue-Flag Pick,"This pick flies a blue flag that lends an air of adventure. The flag itself is made of card stock, so it’ll fly proudly even with no wind."
Blue Flute,A toy flute made from blue glass. A maniac will buy it for a high price.
Blue Poké Ball Pick,A sandwich pick with a simple blue Poké Ball design. Often used by Trainers who picked a Water-type Pokémon for their first partner.
Blue Scarf,Raises holder's Beauty aspect in a Contest.
Blue Shard,A small blue shard. It appears to be from some sort of implement made long ago.
Blue-Sky Flower Pick,A flower pick designed to evoke a blue sky. It’s part of a line of “sky-flower” picks. Using a few is guaranteed to boost that special picnic spirit.
Blue Tablecloth,"A simple blue tablecloth. It’s smooth and pleasant to the touch, and dishes can be placed on it with hardly a sound."
Bluk Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Blunder Policy,Raises Speed sharply if its attack misses.
Bob's Food Tin,One of the many ingredients that can be used for cooking at your camp. The tinned food that Bob sells is curiously popular in Galar.
Boiled Egg,One of the many ingredients that can be used for cooking at your camp. Even just one boiled egg can really enhance a dish.
Bold Mint,Changes the Pokémon's stats to match the Bold nature.
Bombirdier Feather,"Material obtained after defeating/catching Bombirdier, used in TM crafting."
Bonsly Tears,"Material obtained after defeating/catching Bonsly, used in TM crafting."
Booster Energy,An item to be held by Pokémon with certain Abilities. The energy that fills this capsule boosts the strength of the Pokémon.
Bottle Cap,Maximizes one IV stat in Hyper Training.
Bounsweet Sweat,"Material obtained after defeating/catching Bounsweet, used in TM crafting."
Bramblin Twig,"Material obtained after defeating/catching Bramblin, used in TM crafting."
Brave Mint,Changes the Pokémon's stats to match the Brave nature.
Bread,One of the many ingredients that can be used for cooking at your camp. An indispensable tool for mopping up that extra curry left on your plate.
Bright Powder,Lowers the opponent's accuracy.
Brittle Bones,One of the many ingredients that can be used for cooking at your camp. The taste boiled off from the bones is sure to give a dish a light umami taste.
Bronze Bottle,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
Bronze Cup,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
Bronzor Fragment,"Material obtained after defeating/catching Bronzor, used in TM crafting."
Bruxish Tooth,"Material obtained after defeating/catching Bruxish, used in TM crafting."
Bug Gem,Increases the power of a Bug-type move only once.
Bug Memory,Changes Silvally and its move Multi-Attack to Bug type.
Bug Tera Shard,Changes a Pokémon's Tera Type to Bug.
Buginium Z,"Allows the use of Savage Spin-Out, the Bug type Z-Move."
Bugwort,
Buizel Fur,"Material obtained after defeating/catching Buizel, used in TM crafting."
Burn Drive,Changes Techno Blast to a Fire-type move when held by Genesect.
Burn Heal,Cures a Pokémon of a burn.
Butter,A condiment that unites salty and sweet and also packs a richness that makes bread a delight to eat. The finest butter products are made of 100 percent Moomoo Milk.
B&W Grass Tablecloth,"A tablecloth with a fun, trendy black-and-white design featuring Pokémon that seem poised to leap from the tall grass at any moment."
Cacnea Needle,"Material obtained after defeating/catching Cacnea, used in TM crafting."
Cake-Lure Base,
Calcium,Increases Special Attack EVs by 10.
Calm Mint,Changes the Pokémon's stats to match the Calm nature.
Cameruptite,Enables Camerupt to Mega Evolve during battle.
Candy Truffle,
Capsakid Seed,"Material obtained after defeating/catching Capsakid, used in TM crafting."
Carbos,Increases Speed EVs by 10.
Careful Mint,Changes the Pokémon's stats to match the Careful nature.
Carrot Seeds,Seeds to plant in a field. The kind of carrot you’ll get is determined by which field you plant the seeds in.
Casteliacone,Heals all major status conditions.
Caster Fern,
Cell Battery,"A consumable battery. If the holder is hit by an Electric-type move, its Attack will rise."
Cetoddle Grease,"Material obtained after defeating/catching Cetoddle, used in TM crafting."
Chalky Stone,A small whitish stone picked up at the edge of the road.
Charcadet Soot,"Material obtained after defeating/catching Charcadet, used in TM crafting."
Charcoal,Increases the power of Fire-type moves.
Charizardite X,Enables Charizard to Mega Evolve during battle.
Charizardite Y,Enables Charizard to Mega Evolve during battle.
Charti Berry,Weakens a supereffective Rock-type attack against the holding Pokémon.
Cheese,A very salty ingredient. This thinly sliced cheese is perfect for adding to a sandwich.
Cheri Berry,"If held by a Pokémon, it recovers from paralysis."
Cherish Ball,Rre Poké Ball used for event Pokémon.
Cherry Tomatoes,"A very tart ingredient. Some varieties are also very sweet, and these are prized above all others by the people of Paldea."
Chesto Berry,"If held by a Pokémon, it recovers from sleep."
Chewtle Claw,"Material obtained after defeating/catching Chewtle, used in TM crafting."
Chilan Berry,Weakens a Normal-type attack against the Pokémon holding this berry.
Chili Sauce,A condiment with a very spicy kick. It’s thanks to Scovillain that this sauce gets its signature mouth-tingling burn.
Chill Drive,Changes Techno Blast to an Ice-type move when held by Genesect.
Chipped Pot,Evolves Sinistea into Polteageist.
Choice Band,"Raises Attack, but only one move can be used."
Choice Dumpling,
Choice Scarf,"Raises Speed, but only one move can be used."
Choice Specs,"Raises Special Attack, but only one move can be used."
Chople Berry,Weakens a supereffective Fighting-type attack against the holding Pokémon.
Chorizo,"A very salty and spicy ingredient. This type of sausage has particularly robust salty flavor, and the spicier varieties are extra popular."
Clauncher Claw,"Material obtained after defeating/catching Clauncher, used in TM crafting."
Claw Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a claw.
Cleanse Tag,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.
Clear Amulet,"An item to be held by a Pokémon. This clear, sparkling amulet protects the holder from having its stats lowered by moves used against it or by other Pokémon’s Abilities."
Clever Feather,Increases Special Defense EVs by 1.
Clever Mochi,Increases Special Defense EVs.
Clover Sweet,Evolves Milcery into Clover Flavor Alcremie.
Coba Berry,Weakens a supereffective Flying-type attack against the holding Pokémon.
Coconut Milk,One of the many ingredients that can be used for cooking at your camp. The refined sweetness of this coconut milk makes it quite popular.
Colbur Berry,Weakens a supereffective Dark-type attack against the holding Pokémon.
Combee Honey,"Material obtained after defeating/catching Combee, used in TM crafting."
Comet Shard,A shard which fell to the ground when a comet approached. A maniac will buy it for a high price.
Cornn Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Courage Candy,Increases a Pokémon's Special Defense stat by 1.
Courage Candy L,Increases a Pokémon's Special Defense stat.
Courage Candy XL,Increases a Pokémon's Special Defense stat.
Cover Fossil,A fossil of an ancient Pokémon that lived in the sea in ancient times. It appears to be part of its back.
Covert Cloak,"Conceals the holder, protecting it from the additional effects of moves."
Crabrawler Shell,"Material obtained after defeating/catching Crabrawler, used in TM crafting."
Cracked Pot,Evolves Sinistea into Polteageist.
Crafting Kit,
Cream Cheese,"A condiment offering very sweet and very tart flavor. It goes well with more ingredients than you’d expect, making it a convenient go-to."
Croagunk Poison,"Material obtained after defeating/catching Croagunk, used in TM crafting."
Crunchy Salt,
Cryogonal Ice,"Material obtained after defeating/catching Cryogonal, used in TM crafting."
Cubchoo Fur,"Material obtained after defeating/catching Cubchoo, used in TM crafting."
Cucumber,A tart and bitter ingredient. Using it together with rich-tasting ingredients in a sandwich will really make the most of a cucumber’s fresh-veggie aroma.
Cufant Tarnish,"Material obtained after defeating/catching Cufant, used in TM crafting."
Curry Powder,"A very spicy condiment. Just watch out—use too much of this potent seasoning, and it’ll cancel out the other flavors."
Custap Berry,Holder can move first when HP is low.
Cyber Ball,"A ball themed after hardcore gaming PCs. It may not light up like its inspiration, but it still stands out."
Cyclizar Scales,"Material obtained after defeating/catching Cyclizar, used in TM crafting."
Damp Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Damp Rock,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.
Dark Gem,Increases the power of a Dark-type move only once.
Dark Memory,Changes Silvally and its move Multi-Attack to Dark type.
Dark Tera Shard,Changes a Pokémon's Tera Type to Dark.
Darkinium Z,"Allows the use of Black Hole Eclipse, the Dark type Z-Move."
Dawn Stone,Evolves certain species of Pokémon.
Dazzling Honey,
Decidium Z,"Allows Decidueye to upgrade Spirit Shackle to a Z-Move, Sinister Arrow Raid."
Dedenne Fur,"Material obtained after defeating/catching Dedenne, used in TM crafting."
Deep Sea Scale,Increases Special Defense when held by Clamperl. Evolves Clamperl when traded holding the item.
Deep Sea Tooth,Increases Special Attack when held by Clamperl. Evolves Clamperl when traded holding the item.
Deerling Hair,"Material obtained after defeating/catching Deerling, used in TM crafting."
Deino Scales,"Material obtained after defeating/catching Deino, used in TM crafting."
Delibird Parcel,"Material obtained after defeating/catching Delibird, used in TM crafting."
Destiny Knot,"A long, thin, bright-red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too."
Diamond Bottle,"A diamond-patterned bottle that’s small, light, and even comes with a cup. The detachable strap makes it handy for walking around with."
Diamond Pattern Cup,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around."
Diamond Tablecloth,"A tablecloth with a fashionable diamond pattern. It’s great at repelling water and mold, and stains and smudges wipe right off."
Diancite,Enables Diancie to Mega Evolve during battle.
Digger Drill,A single-use drill to bore a hole in the wall for your Secret Base.
Diglett Dirt,"Material obtained after defeating/catching Diglett, used in TM crafting."
Dire Hit,Raises critical-hit ratio of a Pokémon in battle.
Dire Hit 2,Raises a Pokémon's critical-hit ratio in battle.
Dire Hit 3,Greatly raises a Pokémon's critical-hit ratio in battle.
Direshroom,
Discount Coupon,This special coupon allows you to buy items at a discount when you are shopping at a boutique.
Discovery Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Discovery Room at Ramanas Park.
Distortion Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Distortion Room at Ramanas Park.
Ditto Goo,"Material obtained after defeating/catching Ditto, used in TM crafting."
Dive Ball,Catches Pokémon that live in water with 3.5x the rate of a standard Poké Ball.
DNA Splicers,A splicer that fuses Kyurem and a certain Pokémon. They are said to have been one in the beginning.
Dome Fossil,A fossil of an ancient Pokémon that lived in the sea. It appears to be part of a shell.
Dondozo Whisker,"Material obtained after defeating/catching Dondozo, used in TM crafting."
Doppel Bonnets,
Douse Drive,Changes Techno Blast to a Water-type move when held by Genesect.
Draco Plate,Increases power of Dragon-type moves. Changes Arceus' type to Dragon.
Dragon Fang,Increases the power of Dragon-type moves.
Dragon Gem,Increases the power of a Dragon-type move only once.
Dragon Memory,Changes Silvally and its move Multi-Attack to Dragon type.
Dragon Scale,Evolves Seadra when traded holding the item.
Dragon Tera Shard,Changes a Pokémon's Tera Type to .
Dragonium Z,"Allows the use of Devastating Drake, the Dragon type Z-Move."
Dratini Scales,"Material obtained after defeating/catching Dratini, used in TM crafting."
Dread Plate,Increases power of Dark-type moves. Changes Arceus' type to Dark.
Dream Ball,A special Poké Ball that appears out of nowhere in a bag at the Entree Forest. It can catch any Pokémon.
Dreepy Powder,"Material obtained after defeating/catching Dreepy, used in TM crafting."
Drifloon Gas,"Material obtained after defeating/catching Drifloon, used in TM crafting."
Dropped Item,The Xtransceiver found at the Nimbasa City amusement park. It seems it belongs to a boy.
Drowzee Fur,"Material obtained after defeating/catching Drowzee, used in TM crafting."
Dubious Disc,Evolves Porygon2 when traded holding the item.
Dunsparce Scales,"Material obtained after defeating/catching Dunsparce, used in TM crafting."
Durin Berry,A Berry which is very rare in the Unova region. A maniac will buy it for a high price.
Dusk Ball,Catches Pokémon at night or in caves with 3x the rate of a standard Poké Ball.
Dusk Stone,Evolves certain species of Pokémon.
Dynamax Candy,Raises Dynamax Level.
Dynite Ore,Mysterious ore that can be obtained in the Max Lair. Something good will happen if you give it to a collector in the Crown Tundra.
Earth Plate,Increases power of Ground-type moves. Changes Arceus' type to Ground.
Eevee Cup,"A cup for big-time Pokémon fans. Kids will happily drink out of it, making it a boon to parents."
Eevee Fur,"Material obtained after defeating/catching Eevee, used in TM crafting."
Eevium Z,"Allows Eevee to upgrade Last Resort to a Z-Move, Extreme Evoboost."
Egg,An ingredient with a touch of saltiness. It’s full of nutrients and can be enjoyed with all sorts of seasonings.
Eiscue Down,"Material obtained after defeating/catching Eiscue, used in TM crafting."
Eject Button,"If the holder is hit by an attack, it will switch with another Pokémon in your party."
Eject Pack,The Pokémon switches out if its stats are lowered.
Electirizer,Evolves Electabuzz when traded holding the item.
Electric Gem,Increases the power of an Electric-type move only once.
Electric Memory,Changes Silvally and its move Multi-Attack to Electric type.
Electric Seed,An item to be held by a Pokémon. It boosts Defense on Electric Terrain. It can only be used once.
Electric Tera Shard,Changes a Pokémon's Tera Type to Electric.
Electrium Z,"Allows the use of Gigavolt Havoc, the Electric type Z-Move."
Elevator Key,A card key that activates the elevator in Lysandre Labs. It is emblazoned with Team Flare's logo.
Elixir,Restores 10 PP to all moves of a Pokémon.
Energy Powder,Restores 60 HP but lowers Friendship.
Energy Root,Restores 120 HP but lowers Friendship.
Enigma Berry,"If held by a Pokémon, it restores its HP if it is hit by any supereffective attack."
Escape Rope,"A long, durable rope. Use it to escape instantly from a cave or a dungeon."
Ether,Restores 10 PP to one move of a Pokémon.
Everstone,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.
Eviolite,"A mysterious evolutionary lump. When held, it raises the Defense and Sp. Def of a Pokémon that can still evolve."
Exercise Ball,"A big ball designed for exercising. It can work as a seat if you get tired, too."
Exp. Candy L,"Increases the Pokémon's Exp points by 10,000."
Exp. Candy M,"Increases the Pokémon's Exp points by 3,000."
Exp. Candy S,Increases the Pokémon's Exp points by 800.
Exp. Candy XL,"Increases the Pokémon's Exp. Points by 30,000."
Exp. Candy XS,Increases the Pokémon's Exp points by 100.
Exp. Share,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.
Expert Belt,Increases the power of super-effective moves.
Fairium Z,"Allows the use of Twinkle Tackle, the Fairy type Z-Move."
Fairy Gem,Increases the power of a Fairy-type move only once.
Fairy Memory,Changes Silvally and its move Multi-Attack to Fairy type.
Fairy Tera Shard,Changes a Pokémon's Tera Type to Fairy.
Falinks Sweat,"Material obtained after defeating/catching Falinks, used in TM crafting."
Fancy Apple,One of the many ingredients that can be used for cooking at your camp. An apple chosen above others. It has spectacular form and a brilliant sheen.
Fast Ball,A Poké Ball that makes it easier to catch Pokémon which are quick to run away.
Feather Ball,
Festival Ticket,A ticket that allows you to host a mission in Festival Plaza.
Fidough Fur,"Material obtained after defeating/catching Fidough, used in TM crafting."
Fighting Gem,Increases the power of a Fighting-type move only once.
Fighting Memory,Changes Silvally and its move Multi-Attack to Fighting type.
Fighting Tera Shard,Changes a Pokémon's Tera Type to Fighting.
Fightinium Z,"Allows the use of All-Out Pummeling, the Fighting type Z-Move."
Figy Berry,"Restores HP if it's low, but may cause confusion."
Fine Remedy,
Finizen Mucus,"Material obtained after defeating/catching Finizen, used in TM crafting."
Finneon Scales,"Material obtained after defeating/catching Finneon, used in TM crafting."
Fire Gem,Increases the power of a Fire-type move only once.
Fire Memory,Changes Silvally and its move Multi-Attack to Fire type.
Fire Pattern Cup,"A cup that’s as good for using at home as on a picnic. It’s light, sturdy, and stacks well, so it’s a cinch to pack up and carry around."
Fire Stone,Evolves certain species of Pokémon.
Fire Tera Shard,Changes a Pokémon's Tera Type to Fire.
Firium Z,"Allows the use of Inferno Overdrive, the Fire type Z-Move."
Fist Plate,Increases power of Fighting-type moves. Changes Arceus' type to Fighting.
Flabébé Pollen,"Material obtained after defeating/catching Flabébé, used in TM crafting."
Flame Orb,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.
Flame Plate,Increases power of Fire-type moves. Changes Arceus' type to Fire.
Flamigo Down,"Material obtained after defeating/catching Flamigo, used in TM crafting."
Fletchling Feather,"Material obtained after defeating/catching Fletchling, used in TM crafting."
Flittle Down,"Material obtained after defeating/catching Flittle, used in TM crafting."
Float Stone,A very light stone. It reduces the weight of a Pokémon when held.
Flower Pattern Cup,"A cup for kids to use at picnics. It’s made of light but strong material. It’s stackable, which makes it handy for carrying around."
Flower Sweet,Evolves Milcery into Flower Flavor Alcremie.
Fluffy Tail,An item that attracts Pokémon. Use it to flee from any battle with a wild Pokémon.
Flying Gem,Increases the power of a Flying-type move only once.
Flying Memory,Changes Silvally and its move Multi-Attack to Flying type.
Flying Tera Shard,Changes a Pokémon's Tera Type to Flying.
Flyinium Z,"Allows the use of Supersonic Skystrike, the Flying type Z-Move."
Focus Band,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP."
Focus Sash,"An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP."
Fomantis Leaf,"Material obtained after defeating/catching Fomantis, used in TM crafting."
Foongus Spores,"Material obtained after defeating/catching Foongus, used in TM crafting."
Fossilized Bird,The fossil of an ancient Pokémon that once soared through the sky. What it looked like is a mystery.
Fossilized Dino,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
Fossilized Drake,The fossil of an ancient Pokémon that once roamed the land. What it looked like is a mystery.
Fossilized Fish,The fossil of an ancient Pokémon that once lived in the sea. What it looked like is a mystery.
Fresh Cream,One of the many ingredients that can be used for cooking at your camp. Add some whipped cream to a spicy curry to give it some sweetness.
Fresh-Start Mochi,Resets a Pokémon's EVs.
Fresh Water,Restores 30 HP.
Fried Fillet,"When used in a sandwich, this very salty and bitter ingredient is at its best paired with sour seasonings."
Fried Food,"One of the many ingredients that can be used for cooking at your camp. It’s been a while since it was fried, so it’s gotten greasy."
Friend Ball,A Poké Ball that makes caught Pokémon more friendly.
Frigibax Scales,"Material obtained after defeating/catching Frigibax, used in TM crafting."
Fruit Bunch,One of the many ingredients that can be used for cooking at your camp. The syrupy fruits give off a strong tropical feel.
Full Heal,Cures a Pokémon of any status condition.
Full Incense,Holder always attacks last. Breeding Snorlax produces Munchlax when held.
Full Restore,Fully restores HP and cures any status condition of a Pokémon.
Galarica Cuff,Evolves Galarian Slowpoke into Galarian Slowbro.
Galarica Twig,"Used to create Galarica Cuff/Wreath, to evolve Galarian Slowpoke."
Galarica Wreath,Evolves Galarian Slowpoke into Galarian Slowking.
Galladite,Enables Gallade to Mega Evolve during battle.
Ganlon Berry,Raises Defense when HP is low.
Garchompite,Enables Garchomp to Mega Evolve during battle.
Gardevoirite,Enables Gardevoir to Mega Evolve during battle.
Gastly Gas,"Material obtained after defeating/catching Gastly, used in TM crafting."
Gengarite,Enables Gengar to Mega Evolve during battle.
Genius Feather,Increases Special Attack EVs by 1.
Genius Mochi,Increases Special Attack EVs.
Genome Slate,A slate overflowing with enigmatic energy. You can feel a strong connection between it and the Genome Room at Ramanas Park.
Gentle Mint,Changes the Pokémon's stats to match the Gentle nature.
Ghost Gem,Increases the power of a Ghost-type move only once.
Ghost Memory,Changes Silvally and its move Multi-Attack to Ghost type.
Ghost Tera Shard,Changes a Pokémon's Tera Type to Ghost.
Ghostium Z,"Allows the use of Never-Ending Nightmare, the Ghost type Z-Move."
Gible Scales,"Material obtained after defeating/catching Gible, used in TM crafting."
Gigantamix,One of the many ingredients that can be used for cooking at your camp. A mysterious spice. Even a tiny sprinkle is sure to make a curry gigantic.
Gigaton Ball,
Gimmighoul Coin,Material obtained after defeating/catching Gimmighoul. Allows evolution into Gholdengo.
Girafarig Fur,"Material obtained after defeating/catching Girafarig, used in TM crafting."
Glalitite,Enables Glalie to Mega Evolve during battle.
Glimmet Crystal,"Material obtained after defeating/catching Glimmet, used in TM crafting."
Gold Bottle,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
Gold Bottle Cap,Maximizes all of a Pokémon's IV stats in Hyper Training.
Gold Cup,"A popular option among hikers. It’s made with titanium, so it doesn’t rust even if it’s used to hold drinks with high sodium content."
Gold Leaf,
Gold Pick,"A golden pick that oozes class. Using it on a sandwich lends an extravagant air that’ll make you want to eat up, even if you don’t love the fillings."
Golden Nanab Berry,"Drastically calms a Pokémon in battle, in Let's Go Pikachu/Eevee."
Golden Pinap Berry,"Drastically increases chance of getting items when a Pokémon is caught, in Pokémon Let's Go."
Golden Razz Berry,Makes a Pokémon easier to catch in Pokémon Let's Go.
Gooey Mulch,A fertilizer to be spread on soft soil in regions where Berries are grown. A maniac will buy it for a high price.
Goomy Goo,"Material obtained after defeating/catching Goomy, used in TM crafting."
Gothita Eyelash,"Material obtained after defeating/catching Gothita, used in TM crafting."
Grain Cake,
Grass Gem,Increases the power of a Grass-type move only once.
Grass Memory,Changes Silvally and its move Multi-Attack to Grass type.
Grass Tera Shard,Changes a Pokémon's Tera Type to Grass.
Grassium Z,"Allows the use of Bloom Doom, the Grass type Z-Move."
Grassy Seed,An item to be held by a Pokémon. It boosts Defense on Grassy Terrain. It can only be used once.
Great Ball,Catches wild Pokémon with 1.5x the rate of a Poké Ball.
Greavard Wax,"Material obtained after defeating/catching Greavard, used in TM crafting."
Green Apricorn,"A green Apricorn. It has a mysterious, aromatic scent."
Green Bell Pepper,"An ingredient with some bitterness. When sliced, it adds a nice accent to a sandwich."
Green Dish,A dish for picnics. Comes in plenty of colors to choose from based on the food or the mood. The green variety is quite popular.
Green Poké Ball Pick,A sandwich pick with a simple green Poké Ball design. Often used by Trainers who picked a Grass-type Pokémon for their first partner.
Green Scarf,Raises holder's Smart aspect in a Contest.
Green Shard,A small green shard. It appears to be from some sort of implement made long ago.
Grepa Berry,Increases Friendship but lowers Special Defense EVs.
Grimer Toxin,"Material obtained after defeating/catching Grimer, used in TM crafting."
Grip Claw,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.
Griseous Core,
Griseous Orb,"Increases the power of Dragon- and Ghost-type moves when held by Giratina, and changes it to Origin Forme."
